TP53 Background,Test Condition,Gene Name,Number of cell lines sampled in each bootstrap,Number of test condition cell lines,Number of wild type cell lines,Total,BM mean in test condition,BM mean in wild-type condition,Difference,Absolute Difference,Two-sided t-test p-value,Bonferroni corrected p-value
lof,lof,SUFU,20,59,194,253,0.5667,0.5713,-0.0047,0.0047,,
lof,lof,GNAQ,20,54,181,235,0.5721,0.5674,0.0047,0.0047,,
lof,amp,RAD51D,20,52,179,231,0.575,0.5703,0.0047,0.0047,,
lof,amp,VEGFA,20,43,204,247,0.5764,0.5717,0.0047,0.0047,,
wt,lof,ECT2L,20,35,203,238,0.5537,0.5584,-0.0047,0.0047,,
lof,lof,H2AC17,20,33,203,236,0.5668,0.5715,-0.0047,0.0047,,
wt,lof,MKI67,20,29,196,225,0.561,0.5564,0.0047,0.0047,,
lof,lof,PHF6,20,177,89,266,0.5729,0.5682,0.0046,0.0046,,
lof,amp,MET,20,90,156,246,0.5729,0.5683,0.0046,0.0046,,
lof,lof,EPOR,20,64,183,247,0.576,0.5714,0.0046,0.0046,,
lof,lof,FBXW7,20,64,188,252,0.5757,0.5711,0.0046,0.0046,,
lof,amp,EGFL7,20,53,189,242,0.5754,0.5708,0.0046,0.0046,,
lof,amp,MIDEAS,20,47,174,221,0.5807,0.5761,0.0046,0.0046,,
lof,lof,CDKN2C,20,44,195,239,0.5678,0.5724,-0.0046,0.0046,0.002277,2.73E-02
lof,lof,JAK1,20,38,199,237,0.5802,0.5756,0.0046,0.0046,,
lof,lof,IL3,20,29,213,242,0.5773,0.5727,0.0046,0.0046,,
lof,lof,INPPL1,20,28,166,194,0.5747,0.5701,0.0046,0.0046,,
lof,amp,RPTOR,20,91,173,264,0.576,0.5715,0.0045,0.0045,,
lof,amp,RAD51C,20,82,176,258,0.5745,0.57,0.0045,0.0045,,
lof,lof,SDHD,20,68,156,224,0.5685,0.573,-0.0045,0.0045,,
wt,lof,MAD2L2,20,31,224,255,0.5622,0.5577,0.0045,0.0045,,
wt,amp,VEGFA,20,31,215,246,0.5603,0.5558,0.0045,0.0045,,
lof,lof,IDH1,20,27,229,256,0.5698,0.5743,-0.0045,0.0045,,
lof,lof,HMGA1,20,25,210,235,0.5649,0.5694,-0.0045,0.0045,,
wt,lof,CCNB3,20,164,89,253,0.5615,0.5571,0.0044,0.0044,,
lof,lof,RAC2,20,82,167,249,0.5675,0.5719,-0.0044,0.0044,,
lof,amp,RNF43,20,78,165,243,0.5742,0.5698,0.0044,0.0044,,
lof,lof,BCR,20,73,154,227,0.5679,0.5723,-0.0044,0.0044,,
wt,amp,AXIN2,20,63,195,258,0.5604,0.556,0.0044,0.0044,,
lof,lof,PHOX2B,20,58,188,246,0.5658,0.5703,-0.0044,0.0044,,
lof,amp,SDHAF2,20,52,201,253,0.5778,0.5734,0.0044,0.0044,,
lof,lof,LCK,20,48,196,244,0.5706,0.575,-0.0044,0.0044,,
wt,lof,TCL1B,20,43,199,242,0.5601,0.5557,0.0044,0.0044,,
wt,lof,RAD51B,20,39,198,237,0.5553,0.5597,-0.0044,0.0044,,
lof,lof,GAB2,20,34,158,192,0.5662,0.5706,-0.0044,0.0044,,
wt,lof,BCORL1,20,163,76,239,0.5626,0.5582,0.0043,0.0043,,
lof,amp,SESN3,20,75,156,231,0.5794,0.5751,0.0043,0.0043,,
lof,lof,ICOSLG,20,74,175,249,0.5748,0.5705,0.0043,0.0043,,
lof,lof,ROS1,20,68,173,241,0.5652,0.5695,-0.0043,0.0043,,
lof,amp,HLA-B,20,60,153,213,0.568,0.5723,-0.0043,0.0043,,
lof,amp,KMT2B,20,60,169,229,0.5754,0.5711,0.0043,0.0043,,
lof,lof,MEF2B,20,59,193,252,0.5669,0.5712,-0.0043,0.0043,,
lof,lof,ZFHX3,20,49,151,200,0.5663,0.5706,-0.0043,0.0043,,
lof,amp,CIC,20,44,164,208,0.5678,0.5721,-0.0043,0.0043,,
wt,amp,E2F3,20,40,207,247,0.5636,0.5594,0.0043,0.0043,,
lof,lof,MGA,20,36,198,234,0.5737,0.5694,0.0043,0.0043,,
wt,lof,LZTR1,20,34,196,230,0.5545,0.5588,-0.0043,0.0043,,
lof,amp,PSMB2,20,28,202,230,0.5705,0.5748,-0.0043,0.0043,,
lof,amp,PRDM1,20,25,173,198,0.5773,0.573,0.0043,0.0043,,
lof,lof,ESR1,20,70,167,237,0.5723,0.5766,-0.0042,0.0042,,
wt,amp,BRIP1,20,63,191,254,0.5644,0.5602,0.0042,0.0042,,
lof,amp,MTOR,20,32,176,208,0.5724,0.5682,0.0042,0.0042,,
lof,amp,ICOSLG,20,28,175,203,0.5663,0.5705,-0.0042,0.0042,,
lof,lof,REST,20,63,186,249,0.5704,0.5745,-0.0041,0.0041,,
lof,lof,CALR,20,62,188,250,0.569,0.5731,-0.0041,0.0041,,
lof,lof,BACH2,20,59,186,245,0.5732,0.5691,0.0041,0.0041,,
wt,lof,SESN1,20,36,211,247,0.5622,0.558,0.0041,0.0041,,
wt,lof,MAPK1,20,35,213,248,0.5564,0.5605,-0.0041,0.0041,,
wt,lof,SHOC2,20,25,221,246,0.5618,0.5577,0.0041,0.0041,,
lof,lof,STAG2,20,182,81,263,0.5757,0.5718,0.004,0.004,,
lof,lof,ARID1A,20,69,170,239,0.5787,0.5746,0.004,0.004,,
lof,amp,CEBPA,20,62,186,248,0.577,0.5731,0.004,0.004,,
lof,amp,RAD51B,20,51,180,231,0.5754,0.5715,0.004,0.004,,
lof,amp,NOTCH4,20,45,188,233,0.5771,0.5731,0.004,0.004,,
lof,lof,MRE11,20,43,152,195,0.5667,0.5706,-0.004,0.004,,
lof,lof,ZFP36L1,20,39,184,223,0.5686,0.5726,-0.004,0.004,,
lof,lof,B2M,20,37,215,252,0.5769,0.5729,0.004,0.004,,
wt,lof,CDC42,20,33,219,252,0.563,0.559,0.004,0.004,,
lof,amp,FLT1,20,32,146,178,0.5659,0.5699,-0.004,0.004,,
lof,amp,HNF1A,20,29,224,253,0.5653,0.5693,-0.004,0.004,,
lof,amp,H3-3A,20,84,179,263,0.5695,0.5735,-0.0039,0.0039,,
lof,lof,SMARCB1,20,74,163,237,0.5647,0.5686,-0.0039,0.0039,,
lof,lof,NUP98,20,73,166,239,0.5681,0.572,-0.0039,0.0039,,
lof,lof,MYOD1,20,52,190,242,0.5617,0.5656,-0.0039,0.0039,,
lof,amp,NUP214,20,45,177,222,0.5761,0.5722,0.0039,0.0039,,
lof,lof,MAX,20,44,182,226,0.569,0.5729,-0.0039,0.0039,,
lof,amp,TCL1B,20,44,185,229,0.5771,0.5732,0.0039,0.0039,,
lof,amp,HMGA1,20,42,210,252,0.5733,0.5694,0.0039,0.0039,,
wt,lof,SGK1,20,35,210,245,0.5533,0.5572,-0.0039,0.0039,,
lof,amp,SMAD3,20,29,219,248,0.5767,0.5728,0.0039,0.0039,,
wt,lof,AMER1,20,161,93,254,0.5602,0.5564,0.0038,0.0038,,
lof,lof,LATS2,20,103,140,243,0.5785,0.5747,0.0038,0.0038,,
wt,amp,FH,20,81,175,256,0.5597,0.5559,0.0038,0.0038,,
lof,amp,SPRTN,20,79,180,259,0.5698,0.5736,-0.0038,0.0038,,
lof,amp,MBD4,20,65,196,261,0.5755,0.5717,0.0038,0.0038,,
lof,amp,CCNE1,20,59,184,243,0.5751,0.5713,0.0038,0.0038,,
lof,lof,NOTCH3,20,52,170,222,0.5761,0.5723,0.0038,0.0038,,
lof,amp,LTB,20,49,197,246,0.576,0.5722,0.0038,0.0038,,
wt,amp,DEK,20,40,204,244,0.5589,0.5551,0.0038,0.0038,,
lof,amp,MUTYH,20,38,202,240,0.5759,0.5721,0.0038,0.0038,,
lof,amp,CYSLTR2,20,29,143,172,0.5634,0.5672,-0.0038,0.0038,,
lof,amp,HOXB13,20,82,182,264,0.5743,0.5705,0.0037,0.0037,,
wt,amp,SOX9,20,61,188,249,0.5612,0.5575,0.0037,0.0037,,
lof,lof,PDCD1,20,47,212,259,0.5709,0.5746,-0.0037,0.0037,,
lof,lof,TCL1A,20,42,187,229,0.567,0.5707,-0.0037,0.0037,,
lof,amp,HMGA2,20,34,225,259,0.5722,0.5759,-0.0037,0.0037,,
lof,amp,ERRFI1,20,33,185,218,0.5726,0.5689,0.0037,0.0037,,
lof,lof,CCNE1,20,32,184,216,0.575,0.5713,0.0037,0.0037,,
lof,lof,VAV1,20,84,168,252,0.5701,0.5738,-0.0036,0.0036,,
wt,amp,CD79B,20,63,200,263,0.5626,0.5591,0.0036,0.0036,,
lof,amp,MPL,20,39,193,232,0.5772,0.5736,0.0036,0.0036,,
lof,lof,LRP6,20,38,185,223,0.5697,0.566,0.0036,0.0036,,
wt,amp,COP1,20,86,170,256,0.5605,0.557,0.0035,0.0035,,
lof,lof,ZNRF3,20,74,163,237,0.5656,0.5691,-0.0035,0.0035,,
lof,lof,DNMT1,20,62,181,243,0.5706,0.5741,-0.0035,0.0035,,
lof,lof,PRKACA,20,58,192,250,0.5784,0.5749,0.0035,0.0035,,
wt,lof,MLLT10,20,45,200,245,0.5615,0.558,0.0035,0.0035,,
lof,amp,MYCL,20,42,197,239,0.5795,0.576,0.0035,0.0035,,
wt,amp,IRF4,20,41,195,236,0.5587,0.5621,-0.0035,0.0035,,
wt,lof,ZFP36L1,20,39,202,241,0.5553,0.5588,-0.0035,0.0035,,
lof,lof,MEF2C,20,36,204,240,0.5742,0.5706,0.0035,0.0035,,
lof,amp,TNFAIP3,20,30,178,208,0.5674,0.5709,-0.0035,0.0035,,
wt,lof,HDAC4,20,25,204,229,0.5548,0.5583,-0.0035,0.0035,,
lof,lof,PRDM1,20,73,173,246,0.5696,0.573,-0.0034,0.0034,,
lof,lof,ERRFI1,20,58,185,243,0.5723,0.5689,0.0034,0.0034,,
lof,lof,JAK3,20,57,185,242,0.5748,0.5713,0.0034,0.0034,,
wt,lof,BCL11B,20,43,175,218,0.5601,0.5568,0.0034,0.0034,,
lof,amp,REL,20,33,234,267,0.5734,0.5768,-0.0034,0.0034,,
lof,amp,SDHC,20,92,180,272,0.5712,0.5745,-0.0033,0.0033,,
lof,lof,FANCA,20,62,158,220,0.5629,0.5662,-0.0033,0.0033,,
wt,amp,RPTOR,20,56,186,242,0.5569,0.5602,-0.0033,0.0033,,
lof,lof,JUN,20,39,197,236,0.5741,0.5708,0.0033,0.0033,,
lof,lof,MGAM,20,39,143,182,0.5797,0.5764,0.0033,0.0033,,
wt,lof,GNB1,20,34,223,257,0.5601,0.5567,0.0033,0.0033,,
wt,lof,RET,20,28,215,243,0.5616,0.5583,0.0033,0.0033,,
lof,amp,EIF2B1,20,26,229,255,0.568,0.5714,-0.0033,0.0033,,
lof,lof,HRAS,20,76,176,252,0.5712,0.5744,-0.0032,0.0032,,
lof,lof,SFRP1,20,69,152,221,0.5696,0.5664,0.0032,0.0032,,
lof,lof,DUSP22,20,47,179,226,0.5723,0.5755,-0.0032,0.0032,,
lof,amp,AXL,20,46,177,223,0.5683,0.5715,-0.0032,0.0032,,
lof,amp,TRIM27,20,44,198,242,0.572,0.5752,-0.0032,0.0032,,
lof,amp,FBXO11,20,33,233,266,0.5713,0.5745,-0.0032,0.0032,,
wt,lof,NADK,20,33,219,252,0.562,0.5588,0.0032,0.0032,,
lof,amp,ARID1B,20,27,159,186,0.5755,0.5724,0.0032,0.0032,,
lof,lof,BRCA2,20,86,135,221,0.5739,0.5708,0.0031,0.0031,,
lof,lof,SYK,20,54,177,231,0.5702,0.5733,-0.0031,0.0031,,
lof,lof,DICER1,20,44,178,222,0.569,0.5721,-0.0031,0.0031,,
wt,lof,FANCD2,20,33,213,246,0.5653,0.5622,0.0031,0.0031,,
wt,lof,SESN2,20,30,223,253,0.5608,0.5577,0.0031,0.0031,,
lof,lof,KMT2B,20,29,169,198,0.568,0.5711,-0.0031,0.0031,,
lof,lof,STK19,20,28,190,218,0.5634,0.5665,-0.0031,0.0031,,
lof,amp,CDK6,20,100,159,259,0.5731,0.5701,0.003,0.003,,
lof,lof,FAT1,20,76,146,222,0.5716,0.5747,-0.003,0.003,,
lof,lof,TNFAIP3,20,63,178,241,0.5679,0.5709,-0.003,0.003,,
lof,amp,KMT2A,20,54,152,206,0.5701,0.5731,-0.003,0.003,,
wt,lof,GATA3,20,47,196,243,0.5644,0.5614,0.003,0.003,,
lof,lof,AKT1,20,46,181,227,0.574,0.5711,0.003,0.003,,
lof,amp,FURIN,20,46,193,239,0.5691,0.5721,-0.003,0.003,,
lof,lof,LTK,20,39,204,243,0.5742,0.5712,0.003,0.003,,
lof,amp,DTX1,20,31,219,250,0.5695,0.5724,-0.003,0.003,,
lof,lof,UBE2A,20,179,88,267,0.5746,0.5718,0.0029,0.0029,,
lof,lof,GNA11,20,97,169,266,0.5725,0.5754,-0.0029,0.0029,,
wt,amp,ACTG1,20,60,193,253,0.558,0.5551,0.0029,0.0029,,
lof,amp,HLA-A,20,47,151,198,0.5751,0.5722,0.0029,0.0029,,
lof,amp,VAV2,20,45,187,232,0.5773,0.5744,0.0029,0.0029,,
wt,lof,AKT1,20,42,192,234,0.5585,0.5613,-0.0029,0.0029,,
wt,amp,JARID2,20,40,186,226,0.5589,0.556,0.0029,0.0029,,
lof,amp,PDGFB,20,31,171,202,0.574,0.5769,-0.0029,0.0029,,
lof,lof,CDKN1A,20,26,209,235,0.5696,0.5725,-0.0029,0.0029,,
lof,amp,PPM1D,20,89,172,261,0.5736,0.5708,0.0028,0.0028,,
lof,amp,KMT2C,20,79,112,191,0.5697,0.567,0.0028,0.0028,,
lof,amp,SMO,20,74,158,232,0.5677,0.5705,-0.0028,0.0028,,
lof,lof,SMARCA4,20,66,166,232,0.5737,0.5765,-0.0028,0.0028,,
lof,lof,KMT2A,20,61,152,213,0.5703,0.5731,-0.0028,0.0028,,
lof,lof,PIK3CD,20,56,175,231,0.5714,0.5742,-0.0028,0.0028,,
lof,amp,ZFP36L1,20,51,184,235,0.5754,0.5726,0.0028,0.0028,,
lof,lof,CYLD,20,48,181,229,0.5668,0.5696,-0.0028,0.0028,,
lof,lof,PTCH1,20,48,179,227,0.5744,0.5716,0.0028,0.0028,,
lof,amp,BBC3,20,48,184,232,0.5683,0.5711,-0.0028,0.0028,,
lof,amp,TNFRSF14,20,35,181,216,0.5679,0.5707,-0.0028,0.0028,,
lof,amp,ETV1,20,116,138,254,0.574,0.5713,0.0027,0.0027,,
lof,lof,H1-3,20,30,197,227,0.5725,0.5753,-0.0027,0.0027,,
lof,amp,CSF3R,20,29,192,221,0.5696,0.5723,-0.0027,0.0027,,
wt,amp,EZH1,20,26,228,254,0.564,0.5614,0.0027,0.0027,,
wt,lof,TET1,20,25,210,235,0.5578,0.5551,0.0027,0.0027,,
wt,amp,INHBA,20,90,169,259,0.5593,0.5567,0.0026,0.0026,,
lof,amp,CUX1,20,88,155,243,0.5728,0.5755,-0.0026,0.0026,,
lof,lof,ERG,20,75,168,243,0.5793,0.5767,0.0026,0.0026,,
lof,amp,NRAS,20,49,183,232,0.5718,0.5692,0.0026,0.0026,,
lof,amp,JUN,20,40,197,237,0.5733,0.5708,0.0026,0.0026,,
wt,lof,ROS1,20,33,215,248,0.5577,0.5551,0.0026,0.0026,,
lof,lof,CEBPA,20,28,186,214,0.5705,0.5731,-0.0026,0.0026,,
wt,amp,MGAM,20,86,136,222,0.5569,0.5544,0.0025,0.0025,,
lof,lof,PIK3R2,20,57,194,251,0.5748,0.5723,0.0025,0.0025,,
lof,amp,ABL1,20,44,183,227,0.5771,0.5746,0.0025,0.0025,,
lof,lof,ERF,20,43,180,223,0.5718,0.5743,-0.0025,0.0025,,
wt,amp,MYCN,20,43,212,255,0.5537,0.5561,-0.0025,0.0025,,
lof,amp,ARID2,20,39,211,250,0.5758,0.5732,0.0025,0.0025,,
wt,lof,FOXA1,20,39,197,236,0.5577,0.5602,-0.0025,0.0025,,
lof,amp,XPO1,20,33,232,265,0.5734,0.5759,-0.0025,0.0025,,
lof,lof,E2F3,20,32,193,225,0.5739,0.5714,0.0025,0.0025,,
lof,amp,TET3,20,32,217,249,0.5749,0.5724,0.0025,0.0025,,
wt,amp,CDKN1A,20,32,216,248,0.5591,0.5566,0.0025,0.0025,,
wt,amp,PPP2R2A,20,28,180,208,0.5527,0.5552,-0.0025,0.0025,,
lof,amp,PRKN,20,26,166,192,0.5705,0.5731,-0.0025,0.0025,,
wt,lof,HLA-C,20,32,158,190,0.5559,0.5535,0.0024,0.0024,,
wt,amp,ATF1,20,31,223,254,0.5632,0.5608,0.0024,0.0024,,
wt,lof,SMC3,20,25,207,232,0.5618,0.5593,0.0024,0.0024,,
lof,lof,SETBP1,20,127,113,240,0.5733,0.5756,-0.0023,0.0023,,
lof,amp,CDC73,20,75,186,261,0.5718,0.5741,-0.0023,0.0023,,
lof,amp,PDS5B,20,35,153,188,0.5686,0.5708,-0.0023,0.0023,,
lof,lof,PDS5B,20,86,153,239,0.5731,0.5708,0.0022,0.0022,,
lof,lof,ARID1B,20,72,159,231,0.5746,0.5724,0.0022,0.0022,,
lof,amp,JARID2,20,49,177,226,0.5663,0.564,0.0022,0.0022,,
wt,lof,PRKN,20,45,192,237,0.5597,0.5575,0.0022,0.0022,,
lof,amp,DAXX,20,41,205,246,0.5722,0.57,0.0022,0.0022,,
lof,amp,BRCA2,20,35,135,170,0.5686,0.5708,-0.0022,0.0022,,
wt,lof,HIF1A,20,35,200,235,0.5554,0.5576,-0.0022,0.0022,,
lof,lof,FZR1,20,97,169,266,0.5734,0.5713,0.0021,0.0021,,
lof,amp,ACTG1,20,94,170,264,0.576,0.5739,0.0021,0.0021,,
lof,amp,BRAF,20,80,155,235,0.567,0.5692,-0.0021,0.0021,,
lof,lof,KIT,20,57,190,247,0.569,0.5711,-0.0021,0.0021,,
lof,lof,ERCC2,20,46,180,226,0.5727,0.5706,0.0021,0.0021,,
lof,lof,PIK3R3,20,36,201,237,0.5695,0.5716,-0.0021,0.0021,,
lof,amp,BCL2,20,30,115,145,0.5701,0.568,0.0021,0.0021,,
lof,amp,SETBP1,20,26,113,139,0.5777,0.5756,0.0021,0.0021,,
lof,lof,SMAD2,20,130,119,249,0.5687,0.5707,-0.002,0.002,,
lof,amp,GTF2I,20,96,162,258,0.5714,0.5734,-0.002,0.002,,
wt,amp,SMO,20,87,141,228,0.5575,0.5555,0.002,0.002,,
lof,amp,XRCC2,20,83,153,236,0.5715,0.5696,0.002,0.002,,
lof,amp,SMYD3,20,82,179,261,0.5712,0.5732,-0.002,0.002,,
lof,lof,HDAC1,20,48,198,246,0.5706,0.5726,-0.002,0.002,,
lof,amp,H1-5,20,40,201,241,0.5753,0.5734,0.002,0.002,,
wt,amp,DUSP22,20,40,197,237,0.5594,0.5575,0.002,0.002,,
lof,lof,DEK,20,35,195,230,0.572,0.574,-0.002,0.002,,
lof,amp,CALR,20,25,188,213,0.5751,0.5731,0.002,0.002,,
wt,amp,NKX2-1,20,25,200,225,0.5566,0.5586,-0.002,0.002,,
wt,amp,POT1,20,88,151,239,0.5548,0.5567,-0.0019,0.0019,,
lof,lof,FOXA1,20,47,181,228,0.5744,0.5726,0.0019,0.0019,,
lof,lof,NR4A3,20,46,188,234,0.569,0.5672,0.0019,0.0019,,
wt,lof,TRAF3,20,43,191,234,0.5579,0.5598,-0.0019,0.0019,,
lof,lof,ARHGAP35,20,42,182,224,0.571,0.5729,-0.0019,0.0019,,
wt,lof,FYN,20,37,214,251,0.5587,0.5568,0.0019,0.0019,,
lof,amp,FOXO1,20,31,145,176,0.5697,0.5716,-0.0019,0.0019,,
lof,amp,EZH2,20,86,151,237,0.5697,0.5715,-0.0018,0.0018,,
lof,lof,KLF3,20,63,189,252,0.5697,0.5715,-0.0018,0.0018,,
lof,lof,SPEN,20,53,157,210,0.5724,0.5742,-0.0018,0.0018,,
lof,lof,BRD4,20,52,168,220,0.5761,0.5778,-0.0018,0.0018,,
lof,amp,AKT2,20,51,189,240,0.5694,0.5712,-0.0018,0.0018,,
wt,lof,DICER1,20,41,185,226,0.5584,0.5602,-0.0018,0.0018,,
wt,lof,MTOR,20,29,201,230,0.5597,0.5579,0.0018,0.0018,,
lof,amp,ESCO2,20,27,135,162,0.5666,0.5648,0.0018,0.0018,,
lof,amp,CDC42,20,25,187,212,0.5716,0.5698,0.0018,0.0018,,
lof,amp,PPP2R2A,20,25,134,159,0.5666,0.5683,-0.0018,0.0018,,
wt,amp,MET,20,91,148,239,0.5561,0.5545,0.0017,0.0017,,
lof,lof,PTPRS,20,86,153,239,0.5759,0.5742,0.0017,0.0017,,
lof,lof,PRKN,20,76,166,242,0.5713,0.5731,-0.0017,0.0017,,
lof,amp,FES,20,47,187,234,0.5703,0.5686,0.0017,0.0017,,
lof,lof,BBC3,20,43,184,227,0.5727,0.5711,0.0017,0.0017,,
lof,lof,USP8,20,35,212,247,0.5759,0.5742,0.0017,0.0017,,
lof,amp,NCSTN,20,87,174,261,0.5703,0.5719,-0.0016,0.0016,,
lof,amp,TRAF5,20,81,176,257,0.5686,0.5702,-0.0016,0.0016,,
lof,lof,TET2,20,65,194,259,0.5752,0.5736,0.0016,0.0016,,
lof,lof,KDR,20,58,185,243,0.5699,0.5715,-0.0016,0.0016,,
lof,lof,TSHR,20,43,186,229,0.5685,0.5701,-0.0016,0.0016,,
lof,amp,EPCAM,20,34,235,269,0.5713,0.5729,-0.0016,0.0016,,
lof,amp,EP300,20,26,150,176,0.5736,0.5719,0.0016,0.0016,,
lof,lof,PMAIP1,20,131,117,248,0.5709,0.5695,0.0015,0.0015,,
lof,amp,HGF,20,101,153,254,0.5736,0.5751,-0.0015,0.0015,,
lof,lof,CBL,20,67,153,220,0.5736,0.5721,0.0015,0.0015,,
lof,lof,RNASEH2A,20,60,192,252,0.5735,0.572,0.0015,0.0015,,
lof,amp,CHEK1,20,49,158,207,0.5682,0.5667,0.0015,0.0015,,
lof,amp,MAPK3,20,44,199,243,0.5692,0.5677,0.0015,0.0015,,
wt,lof,RAC2,20,38,205,243,0.5595,0.558,0.0015,0.0015,,
lof,amp,ETAA1,20,37,225,262,0.5755,0.574,0.0015,0.0015,,
lof,lof,RAD17,20,36,209,245,0.5714,0.5699,0.0015,0.0015,,
lof,amp,MAD2L2,20,33,193,226,0.5717,0.5732,-0.0015,0.0015,,
lof,lof,LYN,20,31,181,212,0.5673,0.5688,-0.0015,0.0015,,
lof,amp,ZFP36L2,20,31,227,258,0.5752,0.5737,0.0015,0.0015,,
wt,amp,CDC73,20,88,166,254,0.5576,0.5562,0.0014,0.0014,,
lof,amp,RHEB,20,84,155,239,0.5709,0.5723,-0.0014,0.0014,,
lof,amp,FLI1,20,49,156,205,0.5686,0.5701,-0.0014,0.0014,,
lof,lof,HIF1A,20,43,173,216,0.5694,0.568,0.0014,0.0014,,
wt,lof,EP300,20,41,170,211,0.5589,0.5575,0.0014,0.0014,,
wt,lof,ARID5B,20,25,206,231,0.5578,0.5592,-0.0014,0.0014,,
lof,lof,SESN1,20,75,174,249,0.5696,0.5709,-0.0013,0.0013,,
lof,lof,EIF4E,20,62,207,269,0.5754,0.5741,0.0013,0.0013,,
lof,lof,PDGFRA,20,55,189,244,0.569,0.5702,-0.0013,0.0013,,
lof,amp,IDH2,20,49,199,248,0.5709,0.5696,0.0013,0.0013,,
lof,lof,CD79A,20,43,188,231,0.5718,0.5731,-0.0013,0.0013,,
lof,amp,PIK3CD,20,33,175,208,0.5728,0.5742,-0.0013,0.0013,,
lof,amp,WIF1,20,31,225,256,0.5739,0.5726,0.0013,0.0013,,
lof,lof,NOTCH4,20,27,188,215,0.5717,0.5731,-0.0013,0.0013,,
lof,amp,EP400,20,25,189,214,0.5695,0.5708,-0.0013,0.0013,,
lof,amp,ZNF750,20,88,165,253,0.5722,0.571,0.0012,0.0012,,
lof,amp,ARID4B,20,80,180,260,0.5708,0.5719,-0.0012,0.0012,,
lof,lof,PAK1,20,36,165,201,0.5721,0.5733,-0.0012,0.0012,,
lof,lof,PIK3R1,20,36,205,241,0.5726,0.5715,0.0012,0.0012,,
wt,lof,IFNGR1,20,36,214,250,0.5575,0.5587,-0.0012,0.0012,,
lof,amp,SS18,20,30,156,186,0.5683,0.5694,-0.0012,0.0012,,
wt,lof,PAX5,20,27,216,243,0.5563,0.5576,-0.0012,0.0012,,
wt,lof,PDCD1,20,25,220,245,0.5611,0.5599,0.0012,0.0012,,
lof,lof,KEAP1,20,65,182,247,0.574,0.5751,-0.0011,0.0011,,
lof,amp,MDM2,20,43,218,261,0.5711,0.5721,-0.0011,0.0011,0.661007,7.93E+00
lof,amp,PIK3R3,20,37,201,238,0.5727,0.5716,0.0011,0.0011,,
lof,lof,SPRED1,20,36,208,244,0.572,0.5731,-0.0011,0.0011,,
lof,amp,JAK1,20,36,199,235,0.5745,0.5756,-0.0011,0.0011,,
wt,lof,NFKBIA,20,36,204,240,0.5597,0.5608,-0.0011,0.0011,,
wt,lof,NKX2-1,20,36,200,236,0.5597,0.5586,0.0011,0.0011,,
lof,lof,H1-4,20,30,197,227,0.5725,0.5737,-0.0011,0.0011,,
lof,amp,SERPINB3,20,30,115,145,0.5701,0.5712,-0.0011,0.0011,,
lof,amp,AKT3,20,81,182,263,0.5714,0.5704,0.001,0.001,,
lof,amp,IKBKE,20,78,178,256,0.5719,0.5729,-0.001,0.001,,
lof,lof,EED,20,43,155,198,0.5677,0.5667,0.001,0.001,,
wt,lof,YY1,20,41,198,239,0.5569,0.5579,-0.001,0.001,,
lof,amp,NADK,20,37,177,214,0.5705,0.5696,0.001,0.001,,
lof,lof,TP53BP1,20,36,210,246,0.5701,0.5711,-0.001,0.001,,
lof,amp,SPEN,20,34,157,191,0.5732,0.5742,-0.001,0.001,,
lof,lof,SOX17,20,31,166,197,0.5655,0.5665,-0.001,0.001,,
wt,lof,PIGA,20,161,97,258,0.5561,0.5571,-0.0009,0.0009,,
lof,amp,SOCS3,20,90,176,266,0.5736,0.5727,0.0009,0.0009,,
lof,lof,FGFR1,20,78,143,221,0.5698,0.5689,0.0009,0.0009,,
lof,lof,LATS1,20,69,172,241,0.5713,0.5722,-0.0009,0.0009,,
lof,lof,AGO1,20,43,198,241,0.5749,0.5758,-0.0009,0.0009,,
lof,amp,ATXN2,20,28,223,251,0.5673,0.5681,-0.0009,0.0009,,
lof,lof,SMAD4,20,135,116,251,0.5754,0.5746,0.0008,0.0008,,
lof,lof,DOT1L,20,95,159,254,0.5746,0.5738,0.0008,0.0008,,
wt,amp,GTF2I,20,77,172,249,0.5546,0.5554,-0.0008,0.0008,,
lof,lof,SDHB,20,59,190,249,0.5731,0.5723,0.0008,0.0008,,
wt,lof,ID3,20,34,219,253,0.5603,0.5595,0.0008,0.0008,,
lof,amp,RIT1,20,92,179,271,0.5755,0.5748,0.0007,0.0007,,
lof,lof,EP300,20,80,150,230,0.5713,0.5719,-0.0007,0.0007,,
wt,amp,STAT6,20,34,213,247,0.562,0.5613,0.0007,0.0007,,
lof,amp,IFNGR1,20,32,180,212,0.5725,0.5732,-0.0007,0.0007,,
wt,lof,B2M,20,25,226,251,0.5594,0.56,-0.0007,0.0007,,
wt,lof,MGA,20,25,208,233,0.5604,0.5597,0.0007,0.0007,,
wt,amp,CUX1,20,88,142,230,0.5554,0.5547,0.0006,0.0006,,
lof,lof,FYN,20,77,172,249,0.5683,0.5689,-0.0006,0.0006,,
wt,lof,TNFRSF14,20,35,218,253,0.5584,0.5578,0.0006,0.0006,,
lof,lof,FGFR3,20,67,169,236,0.5711,0.5716,-0.0005,0.0005,,
lof,lof,CDKN1B,20,41,185,226,0.5672,0.5668,0.0005,0.0005,,
lof,amp,H2AC17,20,40,203,243,0.572,0.5715,0.0005,0.0005,,
lof,amp,KLF5,20,40,151,191,0.5691,0.5696,-0.0005,0.0005,,
